ID1	ID2	issue_type
hmdb:HMDB0030233	pubchem:129011027	improper_match
hmdb:HMDB0030233	chebi:134013	improper_match
hmdb:HMDB0030264	pubchem:13186539	improper_match
hmdb:HMDB0030264	chemspider:19991118	improper_match
hmdb:HMDB0030273	pubchem:5318023	improper_match
hmdb:HMDB0030273	chemspider:4476670	improper_match
hmdb:HMDB0030337	pubchem:4290702	improper_match
hmdb:HMDB0030337	chemspider:3496974	improper_match
hmdb:HMDB0030349	pubchem:12301	improper_match
hmdb:HMDB0030349	chebi:741468	improper_match
hmdb:HMDB0030349	chemspider:11798	improper_match
hmdb:HMDB0030360	pubchem:11237396	improper_match
hmdb:HMDB0030360	chebi:544590	improper_match
hmdb:HMDB0030360	chemspider:9412441	improper_match
hmdb:HMDB0030436	pubchem:78172839	improper_match
hmdb:HMDB0030488	pubchem:131751030	improper_match
hmdb:HMDB0030494	pubchem:131751033	improper_match
hmdb:HMDB0030510	pubchem:16130064	improper_match
hmdb:HMDB0030510	kegg:C12030	improper_match
hmdb:HMDB0030510	chemspider:17286842	improper_match
hmdb:HMDB0030531	pubchem:172928	improper_match
hmdb:HMDB0030531	chemspider:151019	improper_match
hmdb:HMDB0030556	pubchem:67764516	improper_match
hmdb:HMDB0030568	kegg:C10187	improper_match
hmdb:HMDB0030568	pubchem:3556303	improper_match
hmdb:HMDB0030568	chemspider:2794080	improper_match
hmdb:HMDB0030581	pubchem:14409074	improper_match
hmdb:HMDB0030585	pubchem:13001421	improper_match
hmdb:HMDB0030585	chemspider:22902400	improper_match
hmdb:HMDB0030635	pubchem:10255010	improper_match
hmdb:HMDB0030635	chemspider:8430495	improper_match
hmdb:HMDB0030723	chemspider:411468	improper_match
hmdb:HMDB0030723	kegg:C13798	improper_match
hmdb:HMDB0030794	pubchem:6164465	improper_match
hmdb:HMDB0030794	chemspider:4828837	improper_match
hmdb:HMDB0030798	pubchem:71438979	improper_match
hmdb:HMDB0030886	chebi:28300	improper_match
hmdb:HMDB0030886	kegg:C00303	improper_match
hmdb:HMDB0030902	pubchem:15225103	improper_match
hmdb:HMDB0030902	chemspider:13630303	improper_match
hmdb:HMDB0030913	pubchem:4039117	improper_match
hmdb:HMDB0030913	chemspider:3255526	improper_match
hmdb:HMDB0030915	pubchem:85272666	improper_match
hmdb:HMDB0031019	kegg:C14996	improper_match
hmdb:HMDB0031138	pubchem:85174872	improper_match
hmdb:HMDB0031243	kegg:C03219	improper_match
hmdb:HMDB0031270	kegg:C08452	improper_match
hmdb:HMDB0031398	chebi:29063	improper_match
hmdb:HMDB0031398	kegg:C04771	improper_match
hmdb:HMDB0031398	pubchem:75052023	improper_match
hmdb:HMDB0031443	pubchem:8182	improper_match
hmdb:HMDB0031443	chebi:28817	improper_match
hmdb:HMDB0031443	kegg:C08374	improper_match
hmdb:HMDB0031443	chemspider:7890	improper_match
hmdb:HMDB0031535	pubchem:7710	improper_match
hmdb:HMDB0031535	chemspider:7424	improper_match
hmdb:HMDB0031727	kegg:C05654	improper_match
hmdb:HMDB0031757	pubchem:131752523	improper_match
hmdb:HMDB0031819	pubchem:73530	improper_match
hmdb:HMDB0031819	chemspider:66213	improper_match
hmdb:HMDB0031831	pubchem:14409176	improper_match
hmdb:HMDB0031839	pubchem:467299	improper_match
hmdb:HMDB0031839	chemspider:410663	improper_match
hmdb:HMDB0031846	kegg:C13297	improper_match
hmdb:HMDB0031876	kegg:C09808	improper_match
hmdb:HMDB0031878	pubchem:11193907	improper_match
hmdb:HMDB0031878	chemspider:9368976	improper_match
hmdb:HMDB0031921	pubchem:23590061	improper_match
hmdb:HMDB0031921	chemspider:19706660	improper_match
hmdb:HMDB0032096	pubchem:102277789	improper_match
hmdb:HMDB0032101	pubchem:14284451	improper_match
hmdb:HMDB0032104	kegg:C09752	improper_match
hmdb:HMDB0032123	pubchem:131751936	improper_match
hmdb:HMDB0032273	kegg:C06551	improper_match
hmdb:HMDB0032326	pubchem:6165108	improper_match
hmdb:HMDB0032326	chemspider:4829022	improper_match
hmdb:HMDB0032462	chebi:9642	improper_match
hmdb:HMDB0032462	kegg:C02088	improper_match
hmdb:HMDB0032488	kegg:C03885	improper_match
hmdb:HMDB0032665	pubchem:15625635	improper_match
hmdb:HMDB0032666	pubchem:101417891	improper_match
hmdb:HMDB0032764	chebi:28901	improper_match
hmdb:HMDB0032829	pubchem:10313247	improper_match
hmdb:HMDB0032829	chemspider:8488712	improper_match
hmdb:HMDB0032859	pubchem:7119	improper_match
hmdb:HMDB0032859	chemspider:6852	improper_match
hmdb:HMDB0033022	pubchem:5282768	improper_match
hmdb:HMDB0033022	chebi:32425	improper_match
hmdb:HMDB0033022	kegg:C16526	improper_match
hmdb:HMDB0033022	chemspider:4445895	improper_match
hmdb:HMDB0033142	pubchem:834	improper_match
hmdb:HMDB0033142	chebi:17755	improper_match
hmdb:HMDB0033142	kegg:C00542	improper_match
hmdb:HMDB0033213	pubchem:5317587	improper_match
hmdb:HMDB0033213	chemspider:4476431	improper_match
hmdb:HMDB0033338	pubchem:119490	improper_match
hmdb:HMDB0033338	chemspider:106713	improper_match
hmdb:HMDB0033339	pubchem:13491357	improper_match
hmdb:HMDB0033399	pubchem:131751014	improper_match
hmdb:HMDB0033588	pubchem:16800	improper_match
hmdb:HMDB0033588	chemspider:15924	improper_match
hmdb:HMDB0033690	pubchem:346286	improper_match
hmdb:HMDB0033690	chemspider:307171	improper_match
hmdb:HMDB0033737	hmdb:HMDB0033399	improper_match
hmdb:HMDB0033737	chemspider:4476900	improper_match
hmdb:HMDB0033737	pubchem:5318294	improper_match
hmdb:HMDB0033807	pubchem:325518	improper_match
hmdb:HMDB0033807	chemspider:288223	improper_match
hmdb:HMDB0033817	pubchem:23036629	improper_match
hmdb:HMDB0033817	chemspider:14602054	improper_match
hmdb:HMDB0033869	pubchem:46856263	improper_match
hmdb:HMDB0033885	kegg:C14285	improper_match
hmdb:HMDB0033901	pubchem:10925	improper_match
hmdb:HMDB0033901	chemspider:10462	improper_match
hmdb:HMDB0033907	pubchem:15340661	improper_match
hmdb:HMDB0033907	chemspider:24844322	improper_match
hmdb:HMDB0033918	pubchem:11745625	improper_match
hmdb:HMDB0033918	chemspider:9920329	improper_match
hmdb:HMDB0033934	pubchem:222	improper_match
hmdb:HMDB0033934	chebi:16134	improper_match
hmdb:HMDB0033934	kegg:C00014	improper_match
hmdb:HMDB0033934	chemspider:217	improper_match
hmdb:HMDB0033967	chebi:32807	improper_match
hmdb:HMDB0033967	kegg:C01839	improper_match
hmdb:HMDB0034016	pubchem:85083560	improper_match
hmdb:HMDB0034021	pubchem:12570	improper_match
hmdb:HMDB0034021	chemspider:12050	improper_match
hmdb:HMDB0034025	pubchem:536987	improper_match
hmdb:HMDB0034025	chemspider:467713	improper_match
hmdb:HMDB0034094	kegg:C09994	improper_match
hmdb:HMDB0034094	pubchem:5316543	improper_match
hmdb:HMDB0034094	chemspider:4475576	improper_match
hmdb:HMDB0034176	kegg:C02018	improper_match
hmdb:HMDB0034189	pubchem:627910	improper_match
hmdb:HMDB0034189	chemspider:545372	improper_match
hmdb:HMDB0034202	pubchem:50200	improper_match
hmdb:HMDB0034202	chebi:68802	improper_match
hmdb:HMDB0034202	kegg:C20046	improper_match
hmdb:HMDB0034202	chemspider:45522	improper_match
hmdb:HMDB0034248	pubchem:7501	improper_match
hmdb:HMDB0034248	chebi:27452	improper_match
hmdb:HMDB0034248	kegg:C19506	improper_match
hmdb:HMDB0034248	chemspider:7220	improper_match
hmdb:HMDB0034262	pubchem:68229	improper_match
hmdb:HMDB0034262	kegg:C09312	improper_match
hmdb:HMDB0034262	chemspider:61531	improper_match
hmdb:HMDB0034335	chebi:4659	improper_match
hmdb:HMDB0034335	kegg:C01692	improper_match
hmdb:HMDB0034472	chebi:17099	improper_match
hmdb:HMDB0034472	kegg:C02008	improper_match
hmdb:HMDB0034489	pubchem:13192441	improper_match
hmdb:HMDB0034565	pubchem:5282714	improper_match
hmdb:HMDB0034565	chebi:86544	improper_match
hmdb:HMDB0034565	chemspider:4445841	improper_match
hmdb:HMDB0034595	pubchem:89421	improper_match
hmdb:HMDB0034595	chemspider:80700	improper_match
hmdb:HMDB0034602	pubchem:185438	improper_match
hmdb:HMDB0034707	pubchem:520398	improper_match
hmdb:HMDB0034707	chemspider:453932	improper_match
hmdb:HMDB0034709	pubchem:628742	improper_match
hmdb:HMDB0034709	chemspider:546062	improper_match
hmdb:HMDB0034876	pubchem:3018539	improper_match
hmdb:HMDB0034876	chemspider:2286047	improper_match
hmdb:HMDB0034963	pubchem:3083613	improper_match
hmdb:HMDB0034963	kegg:C16927	improper_match
hmdb:HMDB0034963	chemspider:2340790	improper_match
hmdb:HMDB0034986	pubchem:131752760	improper_match
hmdb:HMDB0035011	pubchem:71587096	improper_match
hmdb:HMDB0035055	pubchem:102684	improper_match
hmdb:HMDB0035055	chemspider:92751	improper_match
hmdb:HMDB0035060	pubchem:85207142	improper_match
hmdb:HMDB0035128	pubchem:15885837	improper_match
hmdb:HMDB0035166	pubchem:14841537	improper_match
hmdb:HMDB0035197	pubchem:11520	improper_match
hmdb:HMDB0035197	chemspider:11036	improper_match
hmdb:HMDB0035221	pubchem:131751686	improper_match
hmdb:HMDB0035285	pubchem:5250	improper_match
hmdb:HMDB0035285	kegg:C10822	improper_match
hmdb:HMDB0035285	chebi:565242	improper_match
hmdb:HMDB0035285	chemspider:5060	improper_match
hmdb:HMDB0035299	pubchem:3589471	improper_match
hmdb:HMDB0035299	chemspider:2825757	improper_match
hmdb:HMDB0035312	pubchem:440995	improper_match
hmdb:HMDB0035312	chebi:17716	improper_match
hmdb:HMDB0035312	kegg:C00243	improper_match
hmdb:HMDB0035313	pubchem:131751702	improper_match
hmdb:HMDB0035315	pubchem:131751704	improper_match
hmdb:HMDB0035374	pubchem:131751729	improper_match
hmdb:HMDB0035386	pubchem:13996077	improper_match
hmdb:HMDB0035438	pubchem:131751753	improper_match
hmdb:HMDB0035485	pubchem:446834	improper_match
hmdb:HMDB0035485	chebi:2069	improper_match
hmdb:HMDB0035485	kegg:C05619	improper_match
hmdb:HMDB0035485	chemspider:394087	improper_match
hmdb:HMDB0035491	pubchem:131751782	improper_match
hmdb:HMDB0035494	pubchem:131751628	improper_match
hmdb:HMDB0035522	pubchem:10595178	improper_match
hmdb:HMDB0035522	chemspider:8770552	improper_match
hmdb:HMDB0035602	pubchem:442495	improper_match
hmdb:HMDB0035602	chebi:35596	improper_match
hmdb:HMDB0035602	kegg:C09893	improper_match
hmdb:HMDB0035713	pubchem:85114699	improper_match
hmdb:HMDB0035727	pubchem:14034827	improper_match
hmdb:HMDB0035821	pubchem:131751869	improper_match
hmdb:HMDB0035863	pubchem:14890283	improper_match
hmdb:HMDB0035885	pubchem:44257262	improper_match
hmdb:HMDB0035885	chemspider:23339505	improper_match
hmdb:HMDB0035891	pubchem:13922652	improper_match
hmdb:HMDB0035891	kegg:C17489	improper_match
hmdb:HMDB0035908	pubchem:22310	improper_match
hmdb:HMDB0035908	chemspider:20938	improper_match
hmdb:HMDB0035914	pubchem:5316074	improper_match
hmdb:HMDB0035914	chemspider:4475215	improper_match
hmdb:HMDB0035945	pubchem:14583336	improper_match
hmdb:HMDB0035971	pubchem:72796165	improper_match
hmdb:HMDB0035973	pubchem:88881	improper_match
hmdb:HMDB0035973	chebi:3684	improper_match
hmdb:HMDB0035973	kegg:C10029	improper_match
